CVEGEO,ENT,NOM_ENT,MUN,NOM_MUN,Poligono,LOC,NOMGEO,POB1,POB42,POB84,EDU1_R,EDU7_R,EDU13_R,EDU28,EDU34,ECO1,ECO7,ECO13,ECO28,AFRO1,DISC4,DISC5,DISC6,SALUD1,SALUD2,SALUD3,SALUD4,SALUD6,VIV0,VIV7,VIV10,VIV27,VIV28,VIV29,VIV81,VIV15,VIV17,VIV20,VIV34,VIV35,VIV36,GM_2020_y,IMN_2020_y,Latitud,Longitud
170290117,17,Morelos,29,Yautepec,17,117,El Fortín,208,104,104,46.2,95.8,85,13,71,92,11,3,66,11,1,5,8,130,78,10,17,0,89,13,24,41,17,18,5,49,15,43,3,5,46,Alto,0.684409,18.825045,-99.104388
170290133,17,Morelos,29,Yautepec,17,133,Campo la Tehuixtlera,227,114,113,50,100,83.3,15,58,113,11,5,74,17,2,4,7,141,86,44,6,1,140,9,23,49,31,21,10,57,15,61,3,2,57,Medio,0.755164,18.842899,-99.104523
170290172,17,Morelos,29,Yautepec,17,172,El Fortín Dos,52,31,21,25,100,100,6,19,23,2,0,15,10,0,2,2,20,32,6,2,0,23,4,5,8,3,7,0,14,5,13,0,0,15,Alto,0.663314,18.831632,-99.105726
170300015,17,Morelos,30,Yecapixtla,18,15,Texcala,1812,917,895,61.5,92.9,90,115,402,1038,57,61,339,10,9,26,39,1394,417,75,13,8,584,26,211,249,171,183,118,483,474,401,31,46,424,Bajo,0.822092,18.934575,-98.796261
170300016,17,Morelos,30,Yecapixtla,18,16,Tezontetelco,235,122,113,42.9,100,75,16,88,147,7,11,38,1,2,3,7,98,137,2,1,0,90,6,20,46,31,42,24,65,66,54,6,0,63,Bajo,0.831602,18.931712,-98.810118
170300020,17,Morelos,30,Yecapixtla,18,20,Los Capulines,365,180,185,33.3,100,90.6,29,81,190,16,13,79,0,1,6,4,239,126,3,4,0,109,18,48,33,28,32,10,92,11,31,2,0,84,Alto,0.670644,18.919654,-98.815897
170300026,17,Morelos,30,Yecapixtla,18,26,Zacahuacatla,81,38,43,0,100,100,2,19,59,1,3,5,0,1,1,1,58,23,2,3,0,39,2,8,16,10,14,5,21,21,14,3,0,19,Bajo,0.87121,18.912821,-98.813228
170300031,17,Morelos,30,Yecapixtla,18,31,La Hacienda,75,42,33,37.5,90,100,4,20,44,3,1,10,0,2,0,0,38,37,4,0,0,32,2,14,14,5,10,3,19,20,14,2,0,20,Bajo,0.811701,18.922312,-98.807784
170310032,17,Morelos,31,Zacatepec,19,32,Ampliación Plutarco Elías Calles,21,9,12,50,100,0,1,10,13,1,2,2,0,0,0,0,4,17,2,0,0,10,4,1,5,1,1,3,5,5,5,0,0,5,Medio,0.794138,18.670821,-99.212621
170310033,17,Morelos,31,Zacatepec,19,33,El Bonete,31,17,14,0,100,0,6,7,12,5,0,9,0,0,0,0,27,4,1,0,2,18,3,3,2,0,0,2,6,1,9,0,0,3,Muy alto,0.550953,18.673725,-99.197444
